FileName,RelPath,LeftPhoto,Lambda,Kernel,E_gray_end,Iter_gray,E_color_end,Iter_color
exp_lambda0.30_k1x1,/Users/jeonsang-eon/ECE6560-Stereo-Disparity/L01_R05/exp_lambda0.30_k1x1.mat,1,0.300,1,386.482,146950,389.526,141350
exp_lambda0.30_k3x1,/Users/jeonsang-eon/ECE6560-Stereo-Disparity/L01_R05/exp_lambda0.30_k3x1.mat,1,0.300,3,386.568,146850,382.393,150000
exp_lambda0.30_k5x1,/Users/jeonsang-eon/ECE6560-Stereo-Disparity/L01_R05/exp_lambda0.30_k5x1.mat,1,0.300,5,386.757,146350,389.511,141600
exp_lambda0.60_k1x1,/Users/jeonsang-eon/ECE6560-Stereo-Disparity/L01_R05/exp_lambda0.60_k1x1.mat,1,0.600,1,610.993,56550,632.367,50550
exp_lambda0.60_k3x1,/Users/jeonsang-eon/ECE6560-Stereo-Disparity/L01_R05/exp_lambda0.60_k3x1.mat,1,0.600,3,613.575,54900,632.814,50500
exp_lambda0.60_k5x1,/Users/jeonsang-eon/ECE6560-Stereo-Disparity/L01_R05/exp_lambda0.60_k5x1.mat,1,0.600,5,611.379,56500,623.753,53950
exp_lambda0.90_k1x1,/Users/jeonsang-eon/ECE6560-Stereo-Disparity/L01_R05/exp_lambda0.90_k1x1.mat,1,0.900,1,648.911,16050,684.748,13850
exp_lambda0.90_k3x1,/Users/jeonsang-eon/ECE6560-Stereo-Disparity/L01_R05/exp_lambda0.90_k3x1.mat,1,0.900,3,665.684,12000,698.981,10800
exp_lambda0.90_k5x1,/Users/jeonsang-eon/ECE6560-Stereo-Disparity/L01_R05/exp_lambda0.90_k5x1.mat,1,0.900,5,667.822,11650,700.665,10700
exp_lambda0.95_k1x1,/Users/jeonsang-eon/ECE6560-Stereo-Disparity/L01_R05/exp_lambda0.95_k1x1.mat,1,0.950,1,622.851,9150,579.668,10650
exp_lambda0.95_k3x1,/Users/jeonsang-eon/ECE6560-Stereo-Disparity/L01_R05/exp_lambda0.95_k3x1.mat,1,0.950,3,574.273,7050,609.618,6650
exp_lambda0.95_k5x1,/Users/jeonsang-eon/ECE6560-Stereo-Disparity/L01_R05/exp_lambda0.95_k5x1.mat,1,0.950,5,584.303,6900,612.136,6700
exp_lambda0.30_k1x1,/Users/jeonsang-eon/ECE6560-Stereo-Disparity/L03_R05/exp_lambda0.30_k1x1.mat,3,0.300,1,185.194,90600,195.641,70900
exp_lambda0.30_k3x1,/Users/jeonsang-eon/ECE6560-Stereo-Disparity/L03_R05/exp_lambda0.30_k3x1.mat,3,0.300,3,191.21,77550,206.171,60000
exp_lambda0.30_k5x1,/Users/jeonsang-eon/ECE6560-Stereo-Disparity/L03_R05/exp_lambda0.30_k5x1.mat,3,0.300,5,191.222,77650,206.182,60050
exp_lambda0.60_k1x1,/Users/jeonsang-eon/ECE6560-Stereo-Disparity/L03_R05/exp_lambda0.60_k1x1.mat,3,0.600,1,283.052,30200,294.543,26800
exp_lambda0.60_k3x1,/Users/jeonsang-eon/ECE6560-Stereo-Disparity/L03_R05/exp_lambda0.60_k3x1.mat,3,0.600,3,283.397,30100,294.621,26500
exp_lambda0.60_k5x1,/Users/jeonsang-eon/ECE6560-Stereo-Disparity/L03_R05/exp_lambda0.60_k5x1.mat,3,0.600,5,283.805,30200,294.661,26650
exp_lambda0.90_k1x1,/Users/jeonsang-eon/ECE6560-Stereo-Disparity/L03_R05/exp_lambda0.90_k1x1.mat,3,0.900,1,308.364,6050,317.922,6050
exp_lambda0.90_k3x1,/Users/jeonsang-eon/ECE6560-Stereo-Disparity/L03_R05/exp_lambda0.90_k3x1.mat,3,0.900,3,314.202,5500,324.15,5100
exp_lambda0.90_k5x1,/Users/jeonsang-eon/ECE6560-Stereo-Disparity/L03_R05/exp_lambda0.90_k5x1.mat,3,0.900,5,316.408,5400,329.259,5150
exp_lambda0.95_k1x1,/Users/jeonsang-eon/ECE6560-Stereo-Disparity/L03_R05/exp_lambda0.95_k1x1.mat,3,0.950,1,240.25,5250,257.518,4250
exp_lambda0.95_k3x1,/Users/jeonsang-eon/ECE6560-Stereo-Disparity/L03_R05/exp_lambda0.95_k3x1.mat,3,0.950,3,257.867,3600,275.659,3050
exp_lambda0.95_k5x1,/Users/jeonsang-eon/ECE6560-Stereo-Disparity/L03_R05/exp_lambda0.95_k5x1.mat,3,0.950,5,257.825,3450,281.102,3250
exp_lambda0.30_k1x1,/Users/jeonsang-eon/ECE6560-Stereo-Disparity/L04_R05/exp_lambda0.30_k1x1.mat,4,0.300,1,76.872,48050,77.8829,45950
exp_lambda0.30_k3x1,/Users/jeonsang-eon/ECE6560-Stereo-Disparity/L04_R05/exp_lambda0.30_k3x1.mat,4,0.300,3,76.6242,54150,77.8769,48050
exp_lambda0.30_k5x1,/Users/jeonsang-eon/ECE6560-Stereo-Disparity/L04_R05/exp_lambda0.30_k5x1.mat,4,0.300,5,76.6698,53750,77.9483,48200
exp_lambda0.60_k1x1,/Users/jeonsang-eon/ECE6560-Stereo-Disparity/L04_R05/exp_lambda0.60_k1x1.mat,4,0.600,1,131.978,12700,136.042,11800
exp_lambda0.60_k3x1,/Users/jeonsang-eon/ECE6560-Stereo-Disparity/L04_R05/exp_lambda0.60_k3x1.mat,4,0.600,3,132.113,12750,136.21,11200
exp_lambda0.60_k5x1,/Users/jeonsang-eon/ECE6560-Stereo-Disparity/L04_R05/exp_lambda0.60_k5x1.mat,4,0.600,5,132.484,12800,136.713,11250
exp_lambda0.90_k1x1,/Users/jeonsang-eon/ECE6560-Stereo-Disparity/L04_R05/exp_lambda0.90_k1x1.mat,4,0.900,1,114.933,3700,128.004,2950
exp_lambda0.90_k3x1,/Users/jeonsang-eon/ECE6560-Stereo-Disparity/L04_R05/exp_lambda0.90_k3x1.mat,4,0.900,3,115.391,3350,126.582,2550
exp_lambda0.90_k5x1,/Users/jeonsang-eon/ECE6560-Stereo-Disparity/L04_R05/exp_lambda0.90_k5x1.mat,4,0.900,5,121.32,3350,133.672,2550
exp_lambda0.95_k1x1,/Users/jeonsang-eon/ECE6560-Stereo-Disparity/L04_R05/exp_lambda0.95_k1x1.mat,4,0.950,1,98.9084,2850,110.722,2200
exp_lambda0.95_k3x1,/Users/jeonsang-eon/ECE6560-Stereo-Disparity/L04_R05/exp_lambda0.95_k3x1.mat,4,0.950,3,103.342,2150,114.008,1650
exp_lambda0.95_k5x1,/Users/jeonsang-eon/ECE6560-Stereo-Disparity/L04_R05/exp_lambda0.95_k5x1.mat,4,0.950,5,105.231,2150,116.329,1500
